,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
87562,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.15793626,129.1823224,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20스타벅스,https://m.place.naver.com/restaurant/1651676104,카페,4.44,1988,42,0
101376,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16046485,129.1622728,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20스타벅스,https://m.place.naver.com/restaurant/1651676104,카페,4.44,1989,42,0
130888,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16508598,129.1644571,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20스타벅스,https://m.place.naver.com/restaurant/1651676104,카페,4.44,1989,42,0
144219,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16724148,129.1680773,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20스타벅스,https://m.place.naver.com/restaurant/1651676104,카페,4.44,1989,42,0
24844,순돌이보리밥,한식,보리밥전문,한식 음식점업,중동,35.16269044,129.1670463,한식보리밥전문한식 음식점업,중동%20순돌이보리밥,https://m.place.naver.com/restaurant/30993633,보리밥,4.43,263,42,0
145083,경미가소곱창전골,한식,곱창/양구이전문,한식 음식점업,중동,35.16136911,129.175984,한식곱창 양구이전문한식 음식점업,중동%20경미가소곱창전골,https://m.place.naver.com/restaurant/1265246919,"곱창,막창,양",4.44,40,42,0
111495,어글리팬,유흥주점,호프/맥주,기타 주점업,중동,35.1612334,129.172316,유흥주점호프 맥주기타 주점업,중동%20어글리팬,https://m.place.naver.com/restaurant/1109358779,요리주점,4.74,66,42,0
88393,경북횟집,일식/수산물,횟집,한식 음식점업,중동,35.15910189,129.1708915,일식 수산물횟집한식 음식점업,중동%20경북횟집,https://m.place.naver.com/restaurant/13572452,생선회,3.97,67,42,0
123745,도레도레,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16075623,129.1916599,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20도레도레,https://m.place.naver.com/restaurant/37497560,케이크전문,4.43,682,426,0
150305,도레도레,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.1609092,129.1935171,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20도레도레,https://m.place.naver.com/restaurant/37497560,케이크전문,4.43,682,426,0
144399,카페씨,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.15852191,129.1712124,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20카페씨,https://m.place.naver.com/restaurant/1211710717,"카페,디저트",4.38,255,428,0
65594,달맞이국수집,분식,라면김밥분식,분식 및 김밥 전문점,중동,35.16202428,129.1725578,분식라면김밥분식분식 및 김밥 전문점,중동%20달맞이국수집,https://m.place.naver.com/restaurant/1530973175,국수,4.52,108,43,0
71036,마산아구찜,일식/수산물,아구전문,한식 음식점업,중동,35.16358508,129.1658736,일식 수산물아구전문한식 음식점업,중동%20마산아구찜,https://m.place.naver.com/restaurant/13012964,"아귀찜,해물찜",4.3,287,43,3
98754,마산아구찜뽈찜,일식/수산물,아구전문,한식 음식점업,중동,35.16358508,129.1658736,일식 수산물아구전문한식 음식점업,중동%20마산아구찜뽈찜,https://m.place.naver.com/restaurant/13012964,"아귀찜,해물찜",4.3,287,43,0
145251,한끼,한식,한식/백반/한정식,한식 음식점업,중동,35.16343969,129.1631823,한식한식 백반 한정식한식 음식점업,중동%20한끼,https://m.place.naver.com/restaurant/269855999,덮밥,4.48,52,43,0
7522,엘시티,한식,한식/백반/한정식,한식 음식점업,중동,35.16155725,129.1658447,한식한식 백반 한정식한식 음식점업,중동%20엘시티,https://m.place.naver.com/restaurant/1237400492,레지던스,4.42,165,438,0
101174,고이,양식,돈가스전문점,서양식 음식점업,중동,35.16256947,129.1627528,양식돈가스전문점서양식 음식점업,중동%20고이,https://m.place.naver.com/restaurant/1371035441,"사진,스튜디오",4.86,651,44,0
17638,백번집,한식,한식/백반/한정식,한식 음식점업,중동,35.16280137,129.1648855,한식한식 백반 한정식한식 음식점업,중동%20백번집,https://m.place.naver.com/restaurant/21487627,"백반,가정식",3.92,92,44,0
76859,이바돔,한식,한식/백반/한정식,한식 음식점업,중동,35.16250017,129.1633994,한식한식 백반 한정식한식 음식점업,중동%20이바돔,https://m.place.naver.com/restaurant/1205481317,닭갈비,4.27,68,46,0
103105,쭈쭈가리비,한식,한식/백반/한정식,한식 음식점업,중동,35.1612228,129.1937083,한식한식 백반 한정식한식 음식점업,중동%20쭈쭈가리비,https://m.place.naver.com/restaurant/38420032,조개요리,4.51,129,462,0
