index,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
55,별난멸치국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,중동,35.16541724,129.1684354,분식국수 만두 칼국수분식 및 김밥 전문점,중동%20별난멸치국수,https://m.place.naver.com/restaurant/1386351341,국수,4.42,332,13,0
56,해초과메기,한식,한식/백반/한정식,한식 음식점업,중동,35.16635541,129.1711601,한식한식 백반 한정식한식 음식점업,중동%20해초과메기,https://m.place.naver.com/restaurant/1513124437,"해물,생선요리",4.36,42,13,0
57,멤버스,유흥주점,룸살롱/단란주점,일반유흥 주점업,중동,35.16177503,129.1656941,유흥주점룸살롱 단란주점일반유흥 주점업,중동%20멤버스,https://m.place.naver.com/restaurant/13394230,"자동차정비,수리",4.31,423,13,0
58,일품강남,한식,한식/백반/한정식,한식 음식점업,중동,35.16094615,129.1647164,한식한식 백반 한정식한식 음식점업,중동%20일품강남,https://m.place.naver.com/restaurant/37790613,중식당,4.49,76,130,0
59,일번지자갈치산곰장어,일식/수산물,곰장어전문,한식 음식점업,중동,35.16098035,129.1620936,일식 수산물곰장어전문한식 음식점업,중동%20일번지자갈치산곰장어,https://m.place.naver.com/restaurant/13088268,"해물,생선요리",4.25,382,131,0
60,퍼주는집,한식,한식/백반/한정식,한식 음식점업,중동,35.16091571,129.1734749,한식한식 백반 한정식한식 음식점업,중동%20퍼주는집,https://m.place.naver.com/restaurant/13096744,낙지요리,4.44,148,132,0
61,마산이모집,한식,한식/백반/한정식,한식 음식점업,중동,35.16135103,129.1619781,한식한식 백반 한정식한식 음식점업,중동%20마산이모집,https://m.place.naver.com/restaurant/1996679908,생선구이,4.37,494,132,0
62,해운대별밤,유흥주점,기타일반유흥주점,일반유흥 주점업,중동,35.16095706,129.162642,유흥주점기타일반유흥주점일반유흥 주점업,중동%20해운대별밤,https://m.place.naver.com/restaurant/1449264547,요리주점,4.02,27,134,0
63,칠암산곰장어,일식/수산물,곰장어전문,한식 음식점업,중동,35.16154478,129.1624528,일식 수산물곰장어전문한식 음식점업,중동%20칠암산곰장어,https://m.place.naver.com/restaurant/19498550,"장어,먹장어요리",4.28,93,135,0
64,삿뽀로,일식/수산물,음식점-일식,일식 음식점업,중동,35.16713759,129.1713689,일식 수산물음식점-일식일식 음식점업,중동%20삿뽀로,https://m.place.naver.com/restaurant/1190472806,일식당,4.37,527,139,10
